Section 8: Prejudice — GameSpy ATLAS stat keyid -> name (from S9Game.u ColumnMappings/ColumnIds)
Id (keyid) is what appears in the SC SubmitReport blob and OnlineStats. '_Date' companion = FILETIME.

### S9Game.u  ViewId=1  columns=988
     773  0x0305  DamageIAL_Date_G22
     774  0x0306  DestructionIAL_Date_G22
     775  0x0307  Destruction_Date_G22
     776  0x0308  Kills_G23
     777  0x0309  TimePlayed_G23
     778  0x030a  Destruction_G23
     779  0x030b  KillsIAL_G23
     780  0x030c  DamageIAL_G23
     781  0x030d  DestructionIAL_G23
     782  0x030e  Kills_Date_G23
     783  0x030f  TimePlayed_Date_G23
     784  0x0310  KillsIAL_Date_G23
     785  0x0311  DamageIAL_Date_G23
     786  0x0312  DestructionIAL_Date_G23
     787  0x0313  Destruction_Date_G23
     788  0x0314  Kills_G24
     789  0x0315  TimePlayed_G24
     790  0x0316  Destruction_G24
     791  0x0317  KillsIAL_G24
     792  0x0318  DamageIAL_G24
     793  0x0319  DestructionIAL_G24
     794  0x031a  Kills_Date_G24
     795  0x031b  TimePlayed_Date_G24
     796  0x031c  KillsIAL_Date_G24
     797  0x031d  DamageIAL_Date_G24
     798  0x031e  DestructionIAL_Date_G24
     799  0x031f  Destruction_Date_G24
     800  0x0320  Kills_G25
     801  0x0321  TimePlayed_G25
     802  0x0322  Destruction_G25
     803  0x0323  KillsIAL_G25
     804  0x0324  DamageIAL_G25
     805  0x0325  DestructionIAL_G25
     806  0x0326  Kills_Date_G25
     807  0x0327  TimePlayed_Date_G25
     808  0x0328  KillsIAL_Date_G25
     809  0x0329  DamageIAL_Date_G25
     810  0x032a  DestructionIAL_Date_G25
     811  0x032b  Destruction_Date_G25
     812  0x032c  Kills_G26
     813  0x032d  TimePlayed_G26
     814  0x032e  Destruction_G26
     815  0x032f  KillsIAL_G26
     816  0x0330  DamageIAL_G26
     817  0x0331  DestructionIAL_G26
     818  0x0332  Kills_Date_G26
     819  0x0333  TimePlayed_Date_G26
     820  0x0334  KillsIAL_Date_G26
     821  0x0335  DamageIAL_Date_G26
     822  0x0336  DestructionIAL_Date_G26
     823  0x0337  Destruction_Date_G26
     824  0x0338  Kills_G27
     825  0x0339  TimePlayed_G27
     826  0x033a  Destruction_G27
     827  0x033b  KillsIAL_G27
     828  0x033c  DamageIAL_G27
     829  0x033d  DestructionIAL_G27
     830  0x033e  Kills_Date_G27
     831  0x033f  TimePlayed_Date_G27
     832  0x0340  KillsIAL_Date_G27
     833  0x0341  DamageIAL_Date_G27
